[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(react)) for TsIdentLibraryScoped(jupyterlab,Some(notebook)) [id => @jupyterlab/notebook, phase => typescript, file => ../notebook/lib/default-toolbar.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:92 Ignored [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:92 Ignored [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:92 Ignored [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[debug] PhaseRunner.scala:84 Success [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/actions.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, actions))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, actions)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/default-toolbar.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, default-toolbar))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, default-toolbar)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/model.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, model))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, model)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/modelfactory.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, modelfactory))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, modelfactory)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/modestatus.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, modestatus))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, modestatus)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/notebooktools.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, notebooktools))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, notebooktools)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/panel.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, panel))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, panel)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/tokens.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, tokens))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, tokens)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/tracker.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, tracker))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, tracker)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/truststatus.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, truststatus))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, truststatus)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/widget.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, widget))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, widget)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook/lib/widgetfactory.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@jupyterlab/notebook),TsIdentLibraryScoped(jupyterlab,Some(notebook))),TsIdentModule(Some(jupyterlab),List(notebook, lib, widgetfactory))) [id => @jupyterlab/notebook, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(jupyterlab),List(notebook, lib, widgetfactory)) [id => @jupyterlab/notebook, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:182 Processing TsIdentLibraryScoped(jupyterlab,Some(notebook)) [id => @jupyterlab/notebook, phase => typescript] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclClass(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(splitCell) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(mergeCells) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(deleteCells) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(insertAbove) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(insertBelow) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(moveDown) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(moveUp) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(changeCellType) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(run) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(runAndAdvance) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(runAndInsert) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(runAll) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(renderAllMarkdown) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(runAllAbove) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(runAllBelow) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(selectAbove) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(selectBelow) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(extendSelectionAbove) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(extendSelectionBelow) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(selectAll) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(deselectAll) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(copy) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(cut) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(paste) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(undo) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(redo) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(toggleAllLineNumbers) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(clearOutputs) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(clearAllOutputs) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(hideCode) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(showCode) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(hideAllCode) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(showAllCode) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(hideOutput) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(showOutput) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(hideAllOutputs) [id => @jupyterlab/notebook, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@jupyterlab/notebook/lib/actions) / TsDeclNamespace(NotebookActions))] 
